"","month","year","ORIGIN","DEST","Flights","percent_monthly_flights"
"1",1,2000,"ABQ","SEA",1,0.261096605744125
"2",1,2000,"ALW","SEA",1,0.261096605744125
"3",1,2000,"ANC","SEA",8,2.088772845953
"4",1,2000,"ATL","SEA",2,0.522193211488251
"5",1,2000,"BIL","SEA",1,0.261096605744125
"6",1,2000,"BLI","SEA",1,0.261096605744125
"7",1,2000,"BNA","SEA",1,0.261096605744125
"8",1,2000,"BOS","SEA",1,0.261096605744125
"9",1,2000,"BTM","SEA",1,0.261096605744125
"10",1,2000,"BZN","SEA",1,0.261096605744125
"11",1,2000,"CLE","SEA",1,0.261096605744125
"12",1,2000,"CLM","SEA",1,0.261096605744125
"13",1,2000,"CLT","SEA",2,0.522193211488251
"14",1,2000,"CVG","SEA",4,1.0443864229765
"15",1,2000,"DFW","SEA",4,1.0443864229765
"16",1,2000,"DTW","SEA",3,0.783289817232376
"17",1,2000,"EAT","SEA",1,0.261096605744125
"18",1,2000,"EKO","SEA",1,0.261096605744125
"19",1,2000,"EUG","SEA",1,0.261096605744125
"20",1,2000,"EWR","SEA",2,0.522193211488251
"21",1,2000,"FAI","SEA",2,0.522193211488251
"22",1,2000,"FAR","SEA",1,0.261096605744125
"23",1,2000,"FAT","SEA",1,0.261096605744125
"24",1,2000,"FCA","SEA",2,0.522193211488251
"25",1,2000,"GEG","SEA",8,2.088772845953
"26",1,2000,"GTF","SEA",1,0.261096605744125
"27",1,2000,"HLN","SEA",1,0.261096605744125
"28",1,2000,"HNL","SEA",2,0.522193211488251
"29",1,2000,"IAD","SEA",3,0.783289817232376
"30",1,2000,"IAH","SEA",1,0.261096605744125
"31",1,2000,"JFK","SEA",4,1.0443864229765
"32",1,2000,"JNU","SEA",3,0.783289817232376
"33",1,2000,"KTN","SEA",3,0.783289817232376
"34",1,2000,"LAS","SEA",6,1.56657963446475
"35",1,2000,"LAX","SEA",11,2.87206266318538
"36",1,2000,"LWS","SEA",1,0.261096605744125
"37",1,2000,"MCI","SEA",1,0.261096605744125
"38",1,2000,"MDW","SEA",1,0.261096605744125
"39",1,2000,"MEM","SEA",2,0.522193211488251
"40",1,2000,"MFR","SEA",1,0.261096605744125
"41",1,2000,"MIA","SEA",3,0.783289817232376
"42",1,2000,"MSO","SEA",1,0.261096605744125
"43",1,2000,"MSP","SEA",8,2.088772845953
"44",1,2000,"MWH","SEA",1,0.261096605744125
"45",1,2000,"OAK","SEA",6,1.56657963446475
"46",1,2000,"ORD","SEA",12,3.1331592689295
"47",1,2000,"PDX","SEA",8,2.088772845953
"48",1,2000,"PHL","SEA",3,0.783289817232376
"49",1,2000,"PHX","SEA",7,1.82767624020888
"50",1,2000,"PIT","SEA",2,0.522193211488251
"51",1,2000,"PUW","SEA",1,0.261096605744125
"52",1,2000,"RDM","SEA",1,0.261096605744125
"53",1,2000,"RNO","SEA",6,1.56657963446475
"54",1,2000,"SAN","SEA",3,0.783289817232376
"55",1,2000,"SEA","ABQ",2,0.522193211488251
"56",1,2000,"SEA","ALW",1,0.261096605744125
"57",1,2000,"SEA","ANC",8,2.088772845953
"58",1,2000,"SEA","ATL",4,1.0443864229765
"59",1,2000,"SEA","BIL",1,0.261096605744125
"60",1,2000,"SEA","BLI",1,0.261096605744125
"61",1,2000,"SEA","BNA",1,0.261096605744125
"62",1,2000,"SEA","BOS",1,0.261096605744125
"63",1,2000,"SEA","BTM",1,0.261096605744125
"64",1,2000,"SEA","BZN",1,0.261096605744125
"65",1,2000,"SEA","CLE",1,0.261096605744125
"66",1,2000,"SEA","CLM",1,0.261096605744125
"67",1,2000,"SEA","CLT",1,0.261096605744125
"68",1,2000,"SEA","CVG",2,0.522193211488251
"69",1,2000,"SEA","DET",1,0.261096605744125
"70",1,2000,"SEA","DFW",3,0.783289817232376
"71",1,2000,"SEA","DTW",4,1.0443864229765
"72",1,2000,"SEA","EAT",1,0.261096605744125
"73",1,2000,"SEA","EKO",1,0.261096605744125
"74",1,2000,"SEA","EUG",1,0.261096605744125
"75",1,2000,"SEA","EWR",2,0.522193211488251
"76",1,2000,"SEA","FAI",1,0.261096605744125
"77",1,2000,"SEA","FAT",1,0.261096605744125
"78",1,2000,"SEA","FCA",2,0.522193211488251
"79",1,2000,"SEA","GEG",8,2.088772845953
"80",1,2000,"SEA","GTF",1,0.261096605744125
"81",1,2000,"SEA","HLN",1,0.261096605744125
"82",1,2000,"SEA","HNL",4,1.0443864229765
"83",1,2000,"SEA","IAD",3,0.783289817232376
"84",1,2000,"SEA","IAH",1,0.261096605744125
"85",1,2000,"SEA","IND",1,0.261096605744125
"86",1,2000,"SEA","JFK",3,0.783289817232376
"87",1,2000,"SEA","JNU",3,0.783289817232376
"88",1,2000,"SEA","KTN",3,0.783289817232376
"89",1,2000,"SEA","LAS",6,1.56657963446475
"90",1,2000,"SEA","LAX",10,2.61096605744125
"91",1,2000,"SEA","LWS",1,0.261096605744125
"92",1,2000,"SEA","MCI",1,0.261096605744125
"93",1,2000,"SEA","MEM",1,0.261096605744125
"94",1,2000,"SEA","MFR",1,0.261096605744125
"95",1,2000,"SEA","MIA",3,0.783289817232376
"96",1,2000,"SEA","MSO",1,0.261096605744125
"97",1,2000,"SEA","MSP",6,1.56657963446475
"98",1,2000,"SEA","MWH",1,0.261096605744125
"99",1,2000,"SEA","OAK",6,1.56657963446475
"100",1,2000,"SEA","ORD",10,2.61096605744125
"101",1,2000,"SEA","PDX",10,2.61096605744125
"102",1,2000,"SEA","PHL",1,0.261096605744125
"103",1,2000,"SEA","PHX",6,1.56657963446475
"104",1,2000,"SEA","PIT",3,0.783289817232376
"105",1,2000,"SEA","PUW",1,0.261096605744125
"106",1,2000,"SEA","RDD",1,0.261096605744125
"107",1,2000,"SEA","RDM",1,0.261096605744125
"108",1,2000,"SEA","RNO",8,2.088772845953
"109",1,2000,"SEA","SAN",2,0.522193211488251
"110",1,2000,"SEA","SAT",1,0.261096605744125
"111",1,2000,"SEA","SFO",7,1.82767624020888
"112",1,2000,"SEA","SJC",9,2.34986945169713
"113",1,2000,"SEA","SLC",7,1.82767624020888
"114",1,2000,"SEA","SMF",6,1.56657963446475
"115",1,2000,"SEA","SNA",4,1.0443864229765
"116",1,2000,"SEA","STL",2,0.522193211488251
"117",1,2000,"SEA","TWF",1,0.261096605744125
"118",1,2000,"SEA","YKM",1,0.261096605744125
"119",1,2000,"SFO","SEA",7,1.82767624020888
"120",1,2000,"SJC","SEA",10,2.61096605744125
"121",1,2000,"SLC","SEA",7,1.82767624020888
"122",1,2000,"SMF","SEA",6,1.56657963446475
"123",1,2000,"SNA","SEA",5,1.30548302872063
"124",1,2000,"STL","SEA",2,0.522193211488251
"125",1,2000,"TWF","SEA",1,0.261096605744125
"126",1,2000,"YKM","SEA",1,0.261096605744125
"127",2,2000,"ABQ","SEA",1,0.485436893203884
"128",2,2000,"ALW","SEA",1,0.242718446601942
"129",2,2000,"ANC","SEA",9,2.42718446601942
"130",2,2000,"ATL","SEA",2,0.485436893203884
"131",2,2000,"BIL","SEA",1,0.485436893203884
"132",2,2000,"BLI","SEA",1,0.242718446601942
"133",2,2000,"BNA","SEA",1,0.242718446601942
"134",2,2000,"BOS","SEA",1,0.242718446601942
"135",2,2000,"BTM","SEA",1,0.485436893203884
"136",2,2000,"BZN","SEA",1,0.485436893203884
"137",2,2000,"CLM","SEA",1,0.485436893203884
"138",2,2000,"CLT","SEA",2,0.242718446601942
"139",2,2000,"CVG","SEA",2,0.242718446601942
"140",2,2000,"DFW","SEA",4,0.485436893203884
"141",2,2000,"DTW","SEA",2,0.485436893203884
"142",2,2000,"EAT","SEA",1,0.242718446601942
"143",2,2000,"EKO","SEA",1,0.970873786407767
"144",2,2000,"EUG","SEA",1,0.485436893203884
"145",2,2000,"EWR","SEA",2,0.242718446601942
"146",2,2000,"FAI","SEA",1,0.242718446601942
"147",2,2000,"FAT","SEA",1,0.242718446601942
"148",2,2000,"FCA","SEA",2,0.728155339805825
"149",2,2000,"GEG","SEA",10,0.485436893203884
"150",2,2000,"GTF","SEA",1,0.485436893203884
"151",2,2000,"HLN","SEA",1,0.728155339805825
"152",2,2000,"HNL","SEA",2,2.66990291262136
"153",2,2000,"IAD","SEA",3,0.485436893203884
"154",2,2000,"IAH","SEA",1,0.485436893203884
"155",2,2000,"JFK","SEA",3,0.970873786407767
"156",2,2000,"JNU","SEA",3,0.970873786407767
"157",2,2000,"KTN","SEA",3,0.485436893203884
"158",2,2000,"LAS","SEA",5,0.242718446601942
"159",2,2000,"LAX","SEA",9,0.728155339805825
"160",2,2000,"LWS","SEA",1,0.485436893203884
"161",2,2000,"MCI","SEA",1,0.728155339805825
"162",2,2000,"MDW","SEA",1,1.21359223300971
"163",2,2000,"MEM","SEA",1,2.42718446601942
"164",2,2000,"MFR","SEA",1,0.728155339805825
"165",2,2000,"MIA","SEA",2,0.485436893203884
"166",2,2000,"MSO","SEA",1,0.242718446601942
"167",2,2000,"MSP","SEA",5,0.728155339805825
"168",2,2000,"MWH","SEA",1,0.242718446601942
"169",2,2000,"OAK","SEA",7,0.242718446601942
"170",2,2000,"ORD","SEA",9,0.485436893203884
"171",2,2000,"PDX","SEA",7,1.21359223300971
"172",2,2000,"PHL","SEA",2,1.69902912621359
"173",2,2000,"PHX","SEA",7,1.94174757281553
"174",2,2000,"PIT","SEA",2,1.69902912621359
"175",2,2000,"PUW","SEA",1,0.485436893203884
"176",2,2000,"RDM","SEA",1,1.69902912621359
"177",2,2000,"RNO","SEA",6,0.242718446601942
"178",2,2000,"SAN","SEA",3,0.485436893203884
"179",2,2000,"SEA","ABI",1,0.728155339805825
"180",2,2000,"SEA","ABQ",1,0.242718446601942
"181",2,2000,"SEA","ALW",1,1.21359223300971
"182",2,2000,"SEA","ANC",9,0.970873786407767
"183",2,2000,"SEA","ATL",4,0.485436893203884
